Nombre,Propiedades,Lugar,LAT,LONG,Descripción 1,Descripción 2,Tipo,Estado de venta,Cantidad original,€,Comprador,,Link,Link venta,Info comprador
"OLP, OLTH, 10 Regional Ports",Puerto Lavrio,Lavrio,37.708481,24.055911,,,Infraestructura,En proceso,,,,,http://www.hradf.com/en/portfolio/ports,,
Olympic Assets,Centro Olímpico de Remo Schinia,Atenas,38.141557,24.01663,"HRADF promotes the development of Schinia Rowing Center, Markopoulo Equestrian Centre and Galatsi Olympic Center",,Terrenos e inmuebles,En proceso,,,,,,,
Olympic Assets,Centro Olímpico Galatsi,Atenas,38.037362,23.788656,"HRADF promotes the development of Schinia Rowing Center, Markopoulo Equestrian Centre and Galatsi Olympic Center",,Terrenos e inmuebles,En proceso,,,,,,,
Olympic Assets,Centro Olímpico ecuestre Markopoulo,Atenas,37.877883,23.971442,"HRADF promotes the development of Schinia Rowing Center, Markopoulo Equestrian Centre and Galatsi Olympic Center",,Terrenos e inmuebles,En proceso,,,,,,,
Peace and Friendship Stadium (SEF),Estadio de la Paz y de la Amistad,Atenas,37.94231,23.667694,"The Peace and Friendship Stadium (SEF) is a characteristic example of the last 20 years of the 20th century architectural style and a worldwide well-known building, having hosted multiple international and national sporting and cultural events.",,Terrenos e inmuebles,Prevista,,,,,,,
"Possidi, Chalkidiki",Propiedad en primera línea de playa,"Possidi, Chalkidiki",39.968774,23.367222,"Chalkidiki is one of the most popular summer tourism destinations of Greeks, especially for those who live in the Northern part of Greece.","The 370 m beachfront property is a landplot of a total surface c. 160,000 m2 in Kassandra peninsula.",Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/en/portfolio/possidi-chalkidiki,,
"Properties in Plaka, Athens",Grupo de propiedades históricas al noreste del Acrópolis de Atenas,Plaka,37.970635,23.728899,The majority of the properties are listed buildings and much of them are abandoned.,,Terrenos e inmuebles,En proceso,,,,,http://www.hradf.com/en/portfolio/plaka-athens-properties,,
Public Gas Corporation,Compañía Pública de gas,Atenas,38.041453,23.775318,DEPA is the incumbent natural gas importer and distributor. It sources gas from a number of suppliers through long-term supply contracts and provides approximately 90% of the gas consumed in the country.,,Empresas,Prevista,,,,,http://www.hradf.com/en/public-gas-corporation,,
Public Power Corporation,Compañía pública de energía,Atenas,37.986134,23.728775,"Public Power Corporation S.A. is the incumbent power producer and supplier in Greece with more than 7.5 million customers and an installed capacity which, at 12,800 MW, exceeds 80% of the country’s total.",,Infraestructura,Prevista,,,,,http://www.hradf.com/en/public-gas-corporation,,
Real Estate Properties Abroad: Group A,Inmueble en Londres,Londres,51.499326,-0.199763,"An unmodernised, Grade II listed detached Italianate Villa of c. 810 sq.m., on the sought after southern leg of Holland Park. The property benefits from a rear garden backing directly onto the park. Reservation Price: £22m",,Terrenos e inmuebles,Completado,£22m,30.710.204,,,http://www.hradf.com/en/real-estate-properies-abroad-group-a,,
Real Estate Properties Abroad: Group A,Inmueble en Nicosia,Nicosia,34.983614,32.733311,"A unique landplot of 8,000 sq.m., situated in Kykkos area, Engomi, one of the best location of Nicosia. In the immediate vicinity there are Ministries, 2 Universities, Embassies and head offices of many firms. Reservation Price: €5m",,Terrenos e inmuebles,Completado,€5m,5.000.000,,,http://www.hradf.com/en/real-estate-properies-abroad-group-a,,
Real Estate Properties Abroad: Group A,Inmueble en Bruselas,Bruselas,50.840929,4.371735,"The property is an 9-storey office building, measuring c. 3,000 sq.m., located in the centre of Brussels Quartier Leopold, on the rue Montoyer. Quartier Leopold is home to the European Institutions and is one of the districts which are part of the CBD. Reservation Price: €3.24m",,Terrenos e inmuebles,Completado,€3.24m,3.240.000,,,http://www.hradf.com/en/real-estate-properies-abroad-group-a,,
Real Estate Properties Abroad: Group A,Inmueble en Tashkent,Tashkent,41.288789,69.244691,"A 2-storey self-contained residential property with basement in the outskirts of Tashkent, consisted of 2 buildings in a landplot of 1,916 sq.m., with a total area of 587.03 sq.m. and a net living area of 327.48 sq.m. Reservation Price: 125,000 USD.",,Terrenos e inmuebles,Completado,"125,000 USD.",111.061,,,http://www.hradf.com/en/real-estate-properies-abroad-group-a,,
Real Estate Properties Abroad: Group B,Inmueble en Roma,Roma,41.905941,12.485793,"The property is located within the historic centre of Rome, 300 m. directly south of the Villa Borghese gardens. The property benefits from its close proximity to both Roma Termini (Rome’s main railway station) as well as the “METRO A” underground ling. The surrounding streets are characterised by a high density of luxury residential properties, as well as a number of high quality office buildings including 3 private banks. It is arranged in ground floor level, five upper floors, basement and attic and provides a gross floor area of c. 1,600 m². The property operated as a hotel until 2007.",,Terrenos e inmuebles,Completado,"6.000.000,00",6.000.000,,,http://www.hradf.com/en/portfolio/real-estate-properies-abroad-group-b,,
Real Estate Properties Abroad: Group B,Inmueble en Düsseldorf,Düsseldorf,51.227502,6.811796,"The property is located between Oberbilk and Flingern north sub-district area. The area is characterized by the architectural style of the late 19th century. Flingern is connected to the suburban train Rhein Ruhr with the suburban train stations Dusseldorf-Flingern and Dusseldorf-Wehrhah. It is arranged in ground floor, three upper floors, basement and attic, and has a total useable areas of 3,356.46 m2.",,Terrenos e inmuebles,Completado,"700.000,00",700.000,,,http://www.hradf.com/en/portfolio/real-estate-properies-abroad-group-b,,
Real Estate Properties Abroad: Group C,Inmueble en Belgrado,Belgrado,44.812455,20.461379,"The property is located in one of the central parts of Belgrade (area Vracar) near Avenue Aleksandra and square Slavija. The area includes mixed use buildings, including offices, residential buildings, cafes / restaurants and many embassies. This part of town is pretty close to its shopping center. The building consists of ground floor, three floors and a penthouse with a total surface of 2,387 m².",,Terrenos e inmuebles,Completado,2.400.000,2.400.000,,,http://www.hradf.com/en/portfolio/real-estate-properies-abroad-group-c,,
Real Estate Properties Abroad: Group D,Inmueble en Nueva York,Nueva York,40.752941,-73.969143,"The property is located in Manhattan, New York, between First and Second Avenue, in 305 East 47th Street, near the United Nations building. It is the second floor of an office complex called “The 3 Dag Condominium” and has total built area of approximately 10,663 square feet (960 m²).",,Terrenos e inmuebles,Prevista,9100000 usd,8.085.259,Precio mín,,http://www.hradf.com/en/portfolio/real-estate-properies-abroad-group-d,,
Real Estate Properties Abroad: Group D,Inmueble en Washington,Washington,38.912098,-77.049398,"The property is located in one of the most important streets of the U.S. capital, in 2211 Massachusetts Avenue. Lots of foreign diplomatic missions are traditionally housed in the district located at Kalorama Heights in Northwest Washington. The building consists of a ground floor and three floors with a total built area of 8,120 square feet (about 754 m² approximately). The surface of the plot is 2,850 square feet (264 m²).",,Terrenos e inmuebles,Prevista,2700000 usd,,Precio mín,,http://www.hradf.com/en/portfolio/real-estate-properies-abroad-group-d,,
Real Estate Properties Abroad: Group D,Inmueble en Liubliana,Liubliana,46.054802,14.500587,"The property is a listed building situated in a prime residential area, protected by cultural heritage regulations. The surrounding area accommodates a number of embassies (of U.S.A. and Austria), government buildings, many retail stores, as well as the famous Tivoli Park. It is a two-storey building with basement and attic with a total built area of 1215 m² and two independent parking lots of 20 m² and 15 m² respectively.",,Terrenos e inmuebles,Prevista,800.000,2.398.792,Precio mín,,http://www.hradf.com/en/portfolio/real-estate-properies-abroad-group-d,,
Real Estate Properties Abroad: Group D,Inmueble en Pretoria,Pretoria,-25.743567,28.230183,"The property is located in Hatfield area, at the most central Avenue of Pretoria, in Stanza Bopape 1008, and in short distance from the Union Building. The building complex includes a two-storey building with a total built area of 350 m² and an auxiliary self-contained building of total built area 50 m². The surface of the plot is 1,766 m².",,Terrenos e inmuebles,Prevista,240000 USD,213.225,Precio mín,,http://www.hradf.com/en/portfolio/real-estate-properies-abroad-group-d,,
Regional airports,Aeropuerto Kerkira “Ioannis Kapodistrias”,Isla de Corfú,39.601981,19.912286,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Thessaloniki (“Makedonia” Airport),Tesalónica,40.520459,22.971901,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Zakinthos “Dionyssios Solomos”,Isla de Zacinto,37.753849,20.884037,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Kefallinia,Isla de Kefalonia,38.11457,20.499216,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Aktion “Preveza-Aktion”,Aktio,38.92619,20.766736,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Kavala “Megas Alexandros”,Nestos,40.91337,24.619456,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Chania “Ioannis Daskalogiannis”,Isla de Creta,35.539845,24.140313,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Alexandroupolis “Dimokritos”,Evros,40.856655,25.956785,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto N. Anchialos “Almiros”,Nea Anchialos,39.290445,22.810133,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Araxos,"Araxos, Achaea",38.151149,21.425717,,,Infraestructura,En proceso,,,,,,,
Regional airports,Aeropuerto Limnos “Ifaistos”,Isla de Limnos,39.923439,25.23353,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Karpathos,Isla de Karpathos,35.421437,27.147053,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Chios “Omiros”,Isla de Chios,38.34019,26.140764,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Kos “Hippokratis”,Kos,36.794108,27.088395,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Samos “Aristarchos of Samos” ,Isla de Samos,37.689833,26.912455,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Skiathos “Alexandros Papadiamantis” ,Isla de Skiathos,39.176437,23.501158,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Mitilini “Odysseas Elytis” A,Isla de Mitilini,39.052993,26.602955,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Mikonos,Isla de Mikonos,37.43709,25.347254,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Santorini,Isla de Santorini,36.400211,25.477862,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
Regional airports,Aeropuerto Rodos “Diagoras”,Rodas,36.40511,28.08595,,,Infraestructura,En proceso,,,,,http://www.hradf.com/sites/default/files/attachments/20130401-eoi-regional-airports-cluster-b-en1.pdf,,
ROSCO,,,,,"EESSTY S.A. (""ROSCO""), is a newly established (2013) company. Today, the Hellenic Republic Asset Development Fund owns 100% of the share capital of EESSTY. EESSTY provides rolling stock maintenance and availability services to train operating companies.",,Infraestructura,En proceso,,,,,,,
Egnatia Odos Motorway,,,39.50029,20.263875,"The Egnatia Motorway crosses all Northern Greece, from East to West, starting from the Igoumenitsa Port, which links Greece to Italy, ending at the Greek-Turkish border.",670 kilometres from Igoumenitsa in the Prefecture of Thesprotia to Kipi in the Prefecture of Evros,Infraestructura,Prevista,,,,,,,
XENIA SKIATHOS,Proyecto hotelero Xenia Skiathos,,39.14804,23.397482,XENIA SKIATHOS was built under the nation-wide hotel program initiated by the Hellenic Tourism Organization to improve the country’s tourism infrastructure in the 1960s and 1970s,"has built area of 2,550 sq.m. and hosting capacity of 64 beds",Terrenos e inmuebles,Completado,2628 millones,2.628.000.000,TE.NA construction company ,,http://www.hradf.com/sites/default/files/attachments/20131205-HRADF-Press-Release-Xenia-en1.pdf,,"TE.NE ATEVE is a construction company based in Ptolemaida, Greece and it is engaged in public and private construction works."
Voras Cluster,Propiedad Voras,Monte Voras,40.939171,21.786946,"Voras property is a sizeable land plot located on Mount Voras (3rd highest mountain in Greece, at an altitude of c. 2,050-2,500m) and engulfs one of the most popular ski centers in Greece.",Exploitation of a ski resort along with a sizeable public land in the nearby village and an area by the neighboring lake,Terrenos e inmuebles,Prevista,,,,,,,
Voras Cluster,Parcelas Agios Athanasio,Monte Voras,40.839171,21.786946,two land parcels suitable for hotel and residential exploitation which are situated around the homonymous traditional settlement,Exploitation of a ski resort along with a sizeable public land in the nearby village and an area by the neighboring lake,Terrenos e inmuebles,Prevista,,,,,,,
Voras Cluster,Resort de sky en Vegoritida,Monte Voras,40.774344,21.794847,It is located c. 15km from the Agios Athanasios property and c. 28km from the Voras property.,Exploitation of a ski resort along with a sizeable public land in the nearby village and an area by the neighboring lake,Terrenos e inmuebles,Prevista,,,,,,,
TRAINOSE,,,37.985754,23.72421,"TRAINOSE S.A. was established in 2005, as a subsidiary of OSE S.A. (""OSE""). In December 2008, the ownership of TRAINOSE was transferred to the HR.","provision of traction services for the rail transportation of passengers and freight, the development, organisation and exploitation of urban, suburban, regional, extra-urban and international railway transportation of passengers and freight, as well as bus transportation or combined transportation of passengers and freight and the provision of logistics services of any nature.",Infraestructura,En proceso,,,,,,,
Thessaloniki Water Supply and Sewerage Company,Compañía de aguas y alcantarillado de Tesalónica,Tesalónica,40.632276,22.952773,"Thessaloniki Water Supply & Sewerage SA (EYATH) has the exclusive right to provide water and sewerage services in the Greater Thessaloniki Area through a 30-year exclusive concession agreement with the Hellenic Republic, effective from 2001.","Currently HR holds 74% of the company’s share capital, approx. 5% is held by Suez Environment Company and the rest is free float. The company is listed in the Athens Stock Exchange.",Infraestructura,En proceso,,,,,,,
Thermal Springs,Manantial de aguas termales Fthiotida,Kamena Vourla,38.902903,22.422125,Wellness & Thermal Tourism,"Includes a hydrotherapy center, hotel, restaurant, shop and several other buildings, developed on a 868,000 m² land plot",Terrenos e inmuebles,Prevista,,,,,,,
Thermal Springs,Manantial de aguas termales Kamena Vourla,Kamena Vourla,38.775011,22.762192,Wellness & Thermal Tourism,"The complex includes dated hotels and a hydrotherapy center with a total area of 16,610 m² developed on a 554,206 m² land plot",Terrenos e inmuebles,Prevista,,,,,,,
Thermal Springs,Manantial de aguas termales Koniaviti/Kamena Vourla,Kamena Vourla,38.776191,22.740111,Wellness & Thermal Tourism,"The complex includes dated buildings covering a total area of 1,510 m² and developed on a 1,061,955 m² land plot",Terrenos e inmuebles,Prevista,,,,,,,
Thermal Springs,Manantial de aguas termales Thermopylae,Kamena Vourla,38.798941,22.545272,Wellness & Thermal Tourism,"The complex includes a hydrotherapy center, two dated hotels, an administration building and a chapel, developed on a 785,398 m² land plot.",Terrenos e inmuebles,Prevista,,,,,,,
State Lotteries License,Licencia de loterías estatal,,,,"The state lotteries currently in circulation include the Popular Ticket, National Ticket and the Special Purpose (New Year’s) Ticket.","The Hellenic Republic Asset Development Fund has decided to proceed with the transfer of its right to the exclusive production, operation, circulation, promotion and management of the Hellenic Lotteries and will be launching an open, transparent and competitive two-stage auction.",Empresas,Completado,"upfront fee of €190 million in cash, and a guaranteed minimum income of €580 million (over a 12- year period), namely a total amount of at least €770 million.",770.000.000,"consortium of OPAP Investment Limited (67%), Intralot Lotteries Limited (16.5%) and Scientific Games Global Gaming S.à.r.l (16.5%)",,http://www.hradf.com/sites/default/files/attachments/20130730-press-release-lotteries-en1.pdf,,"OPAP, Intralot es una multinacional del juego, como antes"
St. Ioannis - Sithonia,Solar frente a la playa de 261.000 m2,Chalkidiki ,39.934899,23.614512,Location Agios Ioannis is a beachfront land plot at the Sithonia peninsula in the Chalkidiki area (Northern Greece) (the “Site”).,"Sithonia peninsula is located between Athos (Monastic Community) which is classified by UNESCO’s catalogue as Monument of World Cultural Heritage and Kassandra, one of Greece’s most modern tourist resorts.",Terrenos en inmuebles,Completado,"€9,61 million",9.610.000,Mentekidis and Georgios Mentekidis,,http://www.hradf.com/sites/default/files/attachments/20131121-press-release-hradf-en1.pdf,,"The development will have significant benefits for the local economy, since it will create jobs and will contribute to the upgrade of the tourism product of the area, through investments of €50 million"
South Kavala Natural Gas Storage,Gas Natural South Kavala,Kavala,,,The “South Kavala” natural gas field was discovered in December 1972 and production commenced in May 1981. HRADF has granted the exploitation rights to a privately held petroleum company until 2014.,"HRADF’s objective is to review alternative ways of exploitation of its rights over the nearly depleted offshore natural gas field in South Kavala via its usage, development and commercial exploitation as a natural gas storage facility",Infraestructura,Prevista,,,,,,,
Small Ports & Marinas,,,,,The Hellenic Republic is in the process of evaluating the most appropriate method for exploiting management and other rights in ports and marinas (other than the 12 ports that are in the form of Societe Anonyme and their respective marinas).,,Infraestructura,En proceso,,,,,,,
Sale & Repo 28 Buildings,Edificio del ministerio de Cultura,Atenas,37.968069,23.654574,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,General Secretariat of Information Systems,Atenas,37.960114,23.69482,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Hellenic Police Forensic Science Division,Atenas,37.999317,23.704439,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Hellenic Statistical Authority (ELSTAT),Atenas,37.949548,23.658006,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Secreteriat General of Mass Media,Atenas,37.954778,23.658577,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,"Police Headquarters, Thessaloniki",Tesalónica,40.658704,22.902299,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Edifico de Immigration Attica,Atenas,37.975824,23.701003,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Edifico de la comisaría de policiía,Serres,41.084491,23.551057,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Tax authority Xanthi A & B and Xanthi Chemical Laboratory,,41.13415,24.887174,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Atenas A’,Atenas,37.982394,23.725742,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Atenas IZ,Atenas,39.565125,21.777743,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de 2 Korinthos,Korinthos,37.99432,23.731865,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Chalkida B’,Atenas,38.461603,23.639715,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Stavroupoli,Stavroupoli,40.640213,22.948945,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Alexandroupoli,Alexandroupoli,40.845844,25.873185,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Anargiroi,Anargiroi,38.028155,23.721536,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Pallini,Pallini,38.00628,23.882975,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Atenas,Atenas,37.99605,23.739394,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de Glyfada,Glyfada,37.869449,23.76555,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de  Cholargos,Cholargos,38.000106,23.79331,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Oficina de impuestos de  Kifisia,Kifisia,38.074206,23.800925,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Edificio del ministerio de relaciones internacionales,,37.991318,23.718137,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Edificio de la comisaría de policía,Attika,37.989513,23.746243,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Edificio del ministerio de Justicia,Atenas,37.996389,23.780276,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Edificio del ministerio de Salud,Atenas,38.044414,23.80354,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Laboratorio de Química de Grecia,Atenas,37.98625,23.75608,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Edificio del ministerio de Educación,Atenas,38.055366,23.823413,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
Sale & Repo 28 Buildings,Edificio del ministerio de Cultura,Atenas,37.989681,23.733636,"The transaction aims to sell a portfolio of 28 properties held by Hellenic Republic. It will be structured as a private sector operating lease, encompassing full privatisation of the portfolio.",,Terrenos e inmuebles,Completado,,,,,,,
