Canción,Intérprete(s),Fecha,Semanas en el top,Idioma,Tipo intérprete (H/M/grupo/colaboración),Estilo
High,Lighthouse Family,30/05/1998,1,en,Grupo,pop
Gettin' Jiggy Wit It,Will Smith,6/06/1998,1,en,Hombre,hip hop
Doctor Jones,Aqua,13/06/1998,1,en,Grupo,dance
Pájaros de barro,Manolo García,20/06/1998,1,es,Hombre,Pop-rock
Heaven's What I Feel (Corazón prohibido),Gloria Estefan,27/06/1998,1,es,Mujer,Pop latino
Gimme Love,Alexia,4/07/1998,1,en,Mujer,Italodance
Save Tonight,Eagle-Eye Cherry,11/07/1998,1,en,Grupo,rock
Out of Control,The Rolling Stones,18/07/1998,1,en,Grupo,Rock
What Can I Do?,The Corrs,25/07/1998,1,en,Grupo,Folk
Gimme the Power,Molotov,1/08/1998,1,es,Grupo,rock
Ponle sabor,DJ Kun,8/08/1998,1,es,Hombre,dance
Train,Undrop,15/08/1998,1,en,Grupo,Indie
La bomba,Ricky Martin,22/08/1998,1,es,Hombre,Pop latino
Happy World,Blue 4 U,29/08/1998,1,en,Grupo,dance
Why Can't We Be Friends,Smash Mouth,5/09/1998,1,en,Grupo,Rock
Horny,Mousse T. con Hot 'n' Juicy,12/09/1998,1,en,Colaboración,House
Life,Des'ree,19/09/1998,1,en,Mujer,Soul
Carbón y ramas secas,Manolo García,26/09/1998,1,es,Hombre,Pop-rock
Oye,Gloria Estefan,3/10/1998,1,en,Mujer,Pop latino
Depende,Jarabe de palo,10/10/1998,1,es,Grupo,Rock
I Think I'm Paranoid,Garbage,17/10/1998,1,en,Grupo,rock
Y quisiera,Ella baila sola,24/10/1998,1,es,Grupo,Pop
Si sé que te tengo a ti,Nek,31/10/1998,1,es,Hombre,Pop
Soñaré,La Oreja de Van Gogh,7/11/1998,1,es,Grupo,Pop
Crush,Jennifer Paige,14/11/1998,1,en,Mujer,pop rock
Quiero vender mi pasado,La rabia del milenio,21/11/1998,1,es,Grupo,pop
On a Day Like Today,Bryan Adams,28/11/1998,1,en,Hombre,Rock
Thank You,Alanis Morissette,5/12/1998,1,en,Mujer,rock
Contigo,Rosana,12/12/1998,1,es,Mujer,Folk
Outside,George Michael,19/12/1998,1,en,Hombre,Pop
Believe,Cher,26/12/1998,1,en,Mujer,Pop
Sweetest Thing,U2,2/01/1999,1,en,Grupo,Rock
When You Believe,Whitney Houston & Mariah Carey,9/01/1999,1,en,Colaboración,R&B
"Ciega, sordomuda",Shakira,16/01/1999,1,es,Mujer,Pop latino
Despídete,Ella baila sola,23/01/1999,1,es,Grupo,Pop
Sad Eyes,Bruce Springsteen,30/01/1999,1,en,Hombre,Rock
Cuéntame al oído,La Oreja de Van Gogh,6/02/1999,1,es,Grupo,Pop
Agua,Jarabe de palo,13/02/1999,1,es,Grupo,Rock
If You Could Read My Mind,Stars on 54,20/02/1999,1,en,Grupo,dance
You Gotta Be,Des'ree,27/02/1999,1,en,Grupo,soul
When You're Gone,Bryan Adams con Melanie C,6/03/1999,1,en,Colaboración,Rock
Can't Take My Eyes Off You,Lauryn Hill,13/03/1999,1,en,Mujer,R&B
Big Big World,Emilia,20/03/1999,1,en,Mujer,pop
It's not Right but it's Okay,Whitney Houston,27/03/1999,1,en,Mujer,R&B
Happy Birthday,Sunflowers,3/04/1999,1,en,Grupo,rock
So Young,The Corrs,10/04/1999,1,en,Grupo,Folk
Busindree Reel,Hevia,17/04/1999,1,en,Hombre,Folk/Instrumental
Maria,Blondie,24/04/1999,1,en,Grupo,New wave
Wish I Could Fly,Roxette,1/05/1999,1,en,Mujer,Pop-rock
Strong Enough,Cher,8/05/1999,1,en,Mujer,Pop
Tender,Blur,15/05/1999,1,en,Grupo,Pop
Promises,The Cranberries,22/05/1999,1,en,Grupo,Rock
Pura sangre,Jarabe de palo,29/05/1999,1,es,Grupo,Pop
Salomé,Chayanne,5/06/1999,1,es,Hombre,Pop
... Baby One More Time,Britney Spears,12/06/1999,1,en,Mujer,Pop
Searchin' my Soul,Vonda Shepard,19/06/1999,1,en,Mujer,Rock
La última carta,Los Cucas,26/06/1999,1,es,Grupo,Pop rock
Livin' la vida loca,Ricky Martin,3/07/1999,1,en,Grupo,Pop latino
I Want it That Way,Backstreet Boys,10/07/1999,1,en,Grupo,Pop
Te quiero igual,Andrés Calamaro,17/07/1999,1,es,Hombre,Rock
Bailamos,Enrique Iglesias,24/07/1999,1,en,Hombre,Pop
Canned Heat,Jamiroquai,31/07/1999,1,en,Grupo,Funk
Wait Here,Deviot,7/08/1999,1,en,Grupo,Punk-rock
Blue (Da Ba Dee),Eiffel 65,14/08/1999,1,en,Hombre,Italodance
Livin' in Jam,Blue 4 U,21/08/1999,1,en,Grupo,Dance
Mambo nº5 (A Little Bit Of...),Lou Bega,28/08/1999,1,en,Hombre,Mambo
La Lola,Café Quijano,4/09/1999,1,es,Grupo,Rock latino
Wild Wild West,Will Smith,11/09/1999,1,en,Hombre,hip hop
Santo Santo,Só Pra Contrariar y Gloria Estefan,18/09/1999,1,es,Colaboración,Samba
Mania,Babel Fish,25/09/1999,1,en,Grupo,Pop rock
If You Had My Love,Jennifer Lopez,2/10/1999,1,en,Mujer,pop
Sometimes,Britney Spears,9/10/1999,1,en,Mujer,Pop
19 días y 500 noches,Joaquín Sabina,16/10/1999,1,es,Hombre,Trova
Atrapados en la red,Tam Tam Go,23/10/1999,1,es,Grupo,Pop
La buena onda,Moneda Dura,30/10/1999,1,es,Grupo,Pop rock
Miénteme,Ketama,6/11/1999,1,es,Grupo,Flamenco
Mi confianza,Luz Casal,13/11/1999,1,es,Mujer,Balada
Cherry Lee,Dover,20/11/1999,1,en,Grupo,Rock
O tú o ninguna,Luis Miguel,27/11/1999,1,es,Hombre,Balada
Genie in a bottle,Christina Aguilera,4/12/1999,1,en,Mujer,R&B
Heartbreaker,Mariah Carey,11/12/1999,1,en,Mujer,R&B
Rhythm Divine,Enrique Iglesias,18/12/1999,1,en,Hombre,Pop
Gente distinta,Celtas Cortos,25/12/1999,1,es,Grupo,Folk
Waiting For Tonight,Jennifer Lopez,1/01/2000,1,en,Mujer,pop
That's the Way it Is,Céline Dion,8/01/2000,1,en,Mujer,Balada
(You Drive Me) Crazy,Britney Spears,15/01/2000,1,en,Mujer,Pop
Radio,The Corrs,22/01/2000,1,en,Grupo,Folk
Move Your Body,Eiffel 65,29/01/2000,1,en,Hombre,Italodance
The Best of Me,Bryan Adams,5/02/2000,1,en,Hombre,Rock
Sentir,Luz Casal,12/02/2000,1,es,Mujer,Balada
Pasarán,Tam Tam Go,19/02/2000,1,es,Grupo,Pop
Sex Bomb,Tom Jones con Mousse T.,26/02/2000,1,en,Colaboración,Pop rock
Corazón espinado,Santana con Maná,4/03/2000,1,es,Colaboración,rock
Llamando a la tierra,M Clan,11/03/2000,1,es,Grupo,pop-rock
Go Let it Out,Oasis,18/03/2000,1,en,Grupo,Pop
Cartoon Heroes,Aqua,25/03/2000,1,en,Grupo,Dance
Quiero un camino,Melón Diesel,1/04/2000,1,es,Grupo,Pop rock
What a Girl Wants,Christina Aguilera,8/04/2000,1,en,Mujer,R&B
The Bad Touch,Bloodhound Gang,15/04/2000,1,en,Grupo,rock
Despierta,Miranda Warning,22/04/2000,1,es,Grupo,Pop
Charla del pescado,Juan Perro,29/04/2000,1,es,Hombre,rock
Sobreviviré,Mónica Naranjo,6/05/2000,2,es,Mujer,pop
Se me olvidó otra vez,Maná,20/05/2000,1,es,Grupo,Pop rock
Tú sigue así,OBK,27/05/2000,1,es,Grupo,Tecnopop
"Bye, Bye, Bye",N Sync,3/06/2000,1,en,Grupo,pop
Let's Get Loud,Jennifer Lopez,10/06/2000,1,en,Mujer,pop
Entre el mar y una estrella,Thalía,17/06/2000,1,es,Mujer,pop latino
I Will Love Again,Lara Fabian,24/06/2000,1,en,Hombre,pop
If Only,Hanson,1/07/2000,1,en,Grupo,Pop rock
It's My Life,Bon Jovi,8/07/2000,1,en,Grupo,rock
Sueño su boca,Raúl,15/07/2000,1,es,Hombre,pop
No me dejes de querer,Gloria Estefan,22/07/2000,1,es,Mujer,Pop latino
"Maria, Maria",Santana,29/07/2000,1,hi,Hombre,Rock
La bomba,King África,5/08/2000,1,es,Hombre,dance
Oops!... I Did It Again,Britney Spears,12/08/2000,1,en,Mujer,Pop
California,Mikel Erentxun,19/08/2000,1,es,Hombre,rock
Rayando el sol,Maná,26/08/2000,1,es,Grupo,Pop rock
Ya no quiero tu querer,José El Francés,2/09/2000,1,es,Hombre,flamenco
El cielo no entiende,OBK,9/09/2000,1,es,Grupo,Tecnopop
Breathless,The Corrs,16/09/2000,1,en,Grupo,Folk
Cuando nadie me ve,Alejandro Sanz,23/09/2000,1,es,Hombre,Pop Latino
El pozo de Arán,Carlos Núñez con Anabela,30/09/2000,1,es,Colaboración,folk
Music,Madonna,7/10/2000,1,en,Mujer,Pop
Cuídate,La Oreja de Van Gogh,14/10/2000,1,es,Grupo,Pop
Rock DJ,Robbie Williams,21/10/2000,1,en,Hombre,pop-rock
Life Is a Rollercoaster,Ronan Keating,28/10/2000,1,en,Hombre,pop
San Pedro,Revólver,4/11/2000,1,es,Grupo,Pop-rock
Entre tú y mil mares,Laura Pausini,11/11/2000,1,it,Mujer,Balada
Como Camarón,Estopa,18/11/2000,1,es,Grupo,Rumba
Beautiful day,U2,25/11/2000,1,en,Grupo,Rock
Ven conmigo (solamente tú),Christina Aguilera,2/12/2000,1,es,Mujer,R&B
Shape of my heart,Backstreet Boys,9/12/2000,1,en,Grupo,Pop
Fuego en el fuego,Eros Ramazzotti,16/12/2000,1,es,Hombre,Pop latino
Quisiera ser,Alejandro Sanz,23/12/2000,1,es,Hombre,Pop Latino
París,La Oreja de Van Gogh,30/12/2000,1,es,Grupo,Pop
She Bangs,Ricky Martin,6/01/2001,1,en,Hombre,Pop latino
Don't Tell Me,Madonna,13/01/2001,1,en,Mujer,Pop
El salmón,Andrés Calamaro,20/01/2001,1,es,Hombre,Rock
Original Prankster,The Offspring,27/01/2001,1,en,Grupo,punk
¿Cómo repartirnos los amigos?,Ella Baila Sola,3/02/2001,1,es,Grupo,Pop
Amor se paga con amor,Jennifer Lopez,10/02/2001,1,es,Mujer,pop
Stan,Eminem con Dido,17/02/2001,1,en,Colaboración,hip hop
Y sin embargo,Joaquín Sabina,24/02/2001,1,es,Hombre,Trova
Cacho a cacho,Estopa,3/03/2001,1,es,Grupo,Rumba
Déjame,Los Secretos,10/03/2001,1,es,Grupo,Pop rock
De vuelta y vuelta,Jarabe de Palo,17/03/2001,1,es,Hombre,Rock
Walking Away,Craig David,24/03/2001,1,en,Hombre,R&B
Carolina,M-Clan,31/03/2001,1,en,Grupo,Pop-rock
Here with Me,Dido,7/04/2001,1,en,Hombre,Pop
Y yo sigo aquí,Paulina Rubio,14/04/2001,1,es,Mujer,pop latino
La playa,La Oreja de Van Gogh,21/04/2001,2,es,Grupo,Pop
Estaciones,Antonio Vega,5/05/2001,1,es,Hombre,Pop
El alma al aire,Alejandro Sanz,12/05/2001,1,es,Hombre,Pop Latino
Eres un canalla,El Canto del Loco,19/05/2001,1,es,Grupo,Pop
The Centre of the Heart,Roxette,26/05/2001,1,en,Mujer,Pop-rock
Ruido,Joaquín Sabina,2/06/2001,1,es,Hombre,Trova
No rompas mi corazón,Coyote Dax,9/06/2001,1,es,Hombre,country
Dos días en la vida,Jarabe de Palo,16/06/2001,1,es,Grupo,Rock
One Wild Night,Bon Jovi,23/06/2001,1,en,Grupo,rock
Yo quiero bailar,Sonia y Selena,30/06/2001,1,es,Grupo,pop latino
Nunca el tiempo es perdido,Manolo García,7/07/2001,1,es,Hombre,Pop-rock
Maggie despierta,M-Clan,14/07/2001,1,es,Grupo,Pop-rock
Imitation of Life,R.E.M.,21/07/2001,1,en,Grupo,Rock
Dile que la quiero,David Civera,28/07/2001,1,es,Hombre,pop latino
Me gustas tú,Manu Chao,4/08/2001,1,es,Hombre,Rumba
Prohibida,Raúl,11/08/2001,1,es,Hombre,pop
Out of Reach,Gabrielle,18/08/2001,1,en,Mujer,R&B
Nada de ná',Café Quijano,25/08/2001,1,es,Grupo,Rock latino
Vive el verano,Paulina Rubio,1/09/2001,1,es,Mujer,pop latino
Angel,Shaggy,8/09/2001,1,en,Hombre,Reggae
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa y Pink",15/09/2001,1,en,Colaboración,R&B
"¡Ay, corazón!",Hijas del Sol,22/09/2001,1,es,Grupo,pop
Little L,Jamiroquai,29/09/2001,1,en,Grupo,Funk
Soledad,La Oreja de Van Gogh,6/10/2001,1,es,Grupo,Pop
19-2000,Gorillaz,13/10/2001,1,en,Grupo,rock
Pretending,HIM,20/10/2001,1,en,Grupo,Metal
Toda,Malú,27/10/2001,1,es,Mujer,balada
Cómo quieres que te quiera,Rosario,3/11/2001,1,es,Mujer,Flamenco
King George,Dover,10/11/2001,1,en,Grupo,Rock
Analyse,The Cranberries,17/11/2001,1,en,Grupo,Rock
Can't Get You out of my Head,Kylie Minogue,24/11/2001,1,en,Mujer,dance
Gente,Presuntos Implicados,1/12/2001,1,es,Grupo,blues
You Rock My World,Michael Jackson,8/12/2001,1,en,Hombre,Pop
Partiendo la pana,Estopa,15/12/2001,1,es,Grupo,Rumba
Suerte,Shakira,22/12/2001,1,es,Mujer,Pop latino
Morenamía,Miguel Bosé,29/12/2001,1,es,Hombre,Pop latino
Y sólo se me ocurre amarte,Alejandro Sanz,5/01/2002,1,es,Hombre,Pop Latino
Mi música es tu voz,Academia Operación Triunfo 2001,12/01/2002,2,es,Grupo,Pop
Hoy,Rosana,26/01/2002,1,es,Mujer,Folk
Fallin',Alicia Keys,2/02/2002,1,en,Mujer,R&B
No sé qué me das,Fangoria,9/02/2002,1,es,Grupo,Electrónica
Te dejo Madrid,Shakira,16/02/2002,1,es,Mujer,Pop latino
La lista de la compra,La Cabra Mecánica con María Jiménez,23/02/2002,1,es,Colaboración,rumba
Overprotected,Britney Spears,2/03/2002,1,en,Mujer,Pop
A gritos de esperanza,Álex Ubago,9/03/2002,1,es,Hombre,Balada
Sin ti no soy nada,Amaral,16/03/2002,1,es,Mujer,Pop Rock
Vino tinto,Estopa,23/03/2002,1,es,Grupo,Rumba
Baila (Sexy Thing),Zucchero,30/03/2002,1,es,Hombre,R&B
Son sueños,El Canto del Loco,6/04/2002,1,es,Grupo,Pop
Moi... Lolita,Alizée,13/04/2002,1,fr,Mujer,Pop
Te esperaré,Antonio Orozco,20/04/2002,1,es,Hombre,Balada
Lady Blue,Bunbury,27/04/2002,1,es,Hombre,Rock
Torero,Chayanne,4/05/2002,1,es,Hombre,Pop latino
A New Day Has Come,Céline Dion,11/05/2002,1,en,Mujer,Balada
Europe's Living a Celebration,Rosa,18/05/2002,1,es,Mujer,pop
Sin miedo a nada,Álex Ubago,25/05/2002,1,es,Hombre,Balada
One Day in Your Life,Anastacia,1/06/2002,1,en,Mujer,Pop
Atrévete,Chenoa,8/06/2002,1,es,Mujer,Pop
Te necesito,Amaral,15/06/2002,1,es,Mujer,Pop Rock
Ellas,Alejandro,22/06/2002,1,es,Hombre,pop
Ave María,David Bisbal,29/06/2002,1,es,Hombre,Pop latino
Sigo intentando,Marta Sánchez,6/07/2002,1,es,Mujer,pop latino
A Dios le pido,Juanes,13/07/2002,1,es,Hombre,Pop latino
Que la detengan,David Civera,20/07/2002,1,es,Hombre,pop latino
Aserejé,Las Ketchup,27/07/2002,1,es,Grupo,flamenco
A little less conversation,Elvis Presley,3/08/2002,1,en,Hombre,Rock
El aire que me das,David Bustamante,10/08/2002,1,es,Hombre,Pop latino
By the Way,Red Hot Chili Peppers,17/08/2002,1,en,Grupo,rock
Cruel to Be Kind,Naím Thomas,24/08/2002,1,en,Hombre,balada
Lloraré las penas,David Bisbal,31/08/2002,1,es,Hombre,Pop latino
Perdona,Tiziano Ferro,7/09/2002,1,es,Hombre,pop
Ángel de amor,Maná,14/09/2002,1,es,Grupo,Pop rock
Cuando tú vas,Chenoa,21/09/2002,1,es,Mujer,Pop
Chihuahua,DJ BoBo,28/09/2002,1,en,Hombre,dance
Soy yo,Marta Sánchez,5/10/2002,1,es,Mujer,pop latino
The Rising,Bruce Springsteen,12/10/2002,1,en,Hombre,Rock
Toda la noche en la calle,Amaral,19/10/2002,1,es,Mujer,Pop Rock
Chica de ayer,Enrique Iglesias,26/10/2002,1,es,Hombre,Pop
Antihéroe,M-Clan,2/11/2002,1,es,Grupo,Pop-rock
Baila Casanova,Paulina Rubio,9/11/2002,1,es,Mujer,pop latino
All the Things She Said,t.A.T.u.,16/11/2002,1,en,Grupo,Pop Rock
Complicated,Avril Lavigne,23/11/2002,1,en,Mujer,Pop Rock
Es por ti,Juanes,30/11/2002,1,es,Hombre,Pop latino
No te rindas,Álex Ubago,7/12/2002,1,es,Hombre,Balada
Dígale,David Bisbal,14/12/2002,1,es,Hombre,Pop latino
Dos hombres y un destino,David Bustamante y Àlex Casademunt,21/12/2002,1,es,Colaboración,balada
69 Punto G,Joaquín Sabina,28/12/2002,1,es,Hombre,Trova
Electrical Storm,U2,4/01/2003,1,en,Grupo,Rock
La fuerza de la vida (La razón de luchar),Academia Operación Triunfo 2002,11/01/2003,1,es,Grupo,Pop
I'm Gonna Getcha Good!,Shania Twain,18/01/2003,1,en,Mujer,Pop Rock
Morenita,UPA Dance,25/01/2003,1,es,Grupo,pop
The Game of Love,Santana con Michelle Branch,1/02/2003,1,en,Colaboración,pop rock
Feel,Robbie Williams,8/02/2003,1,en,Hombre,pop-rock
Jenny from the Block,Jennifer Lopez con Styles P y Jadakiss,15/02/2003,1,en,Colaboración,pop
Color esperanza,Diego Torres,22/02/2003,1,es,Hombre,pop latino
Lose Yourself,Eminem,1/03/2003,1,en,Hombre,hip hop
Dilemma,Nelly,8/03/2003,1,en,Mujer,hip hop
Sk8er Boi,Avril Lavigne,15/03/2003,1,en,Mujer,Pop Rock
No me llames iluso,La Cabra Mecánica,22/03/2003,1,es,Grupo,rumba
Devuélveme a mi chica,Seguridad social,29/03/2003,1,es,Grupo,Rock
Déjame olvidarte,Sergio Dalma,5/04/2003,1,es,Hombre,Balada
Sámbame,UPA Dance,12/04/2003,1,es,Grupo,pop
Dime,Beth,19/04/2003,1,es,Mujer,pop
Bring Me to Life,Evanescence,26/04/2003,1,en,Grupo,Metal
Devuélveme la vida,Antonio Orozco,3/05/2003,1,es,Hombre,Balada
Cada vez que estoy sin ti,David DeMaría,10/05/2003,1,es,Hombre,pop latino
Lucifer,OBK,17/05/2003,1,es,Grupo,Tecnopop
American Life,Madonna,24/05/2003,1,en,Mujer,Pop
Puedes contar conmigo,La Oreja de Van Gogh,31/05/2003,1,es,Grupo,Pop
Bonito,Jarabe de Palo,7/06/2003,1,es,Grupo,Rock
Jaleo,Ricky Martin,14/06/2003,1,es,Hombre,Pop latino
No te escaparás,Hombres G,21/06/2003,1,es,Grupo,Pop rock
Que corra el aire,Manuel Carrasco,28/06/2003,1,es,Hombre,Balada
La madre de José,El Canto del Loco,5/07/2003,1,es,Grupo,Pop
Una emoción para siempre,Eros Ramazzotti,12/07/2003,1,es,Hombre,Pop latino
Bye Bye,David Civera,19/07/2003,1,es,Hombre,pop latino
Son de amores,Andy & Lucas,26/07/2003,1,,Grupo,Pop
¡Ojú!,Las Niñas,2/08/2003,1,es,Grupo,flamenco
Parando el tiempo,Beth,9/08/2003,1,es,Mujer,pop
Crazy in Love,Beyoncé,16/08/2003,1,en,Mujer,R&B
20de Enero,La Oreja de Van Gogh,23/08/2003,1,es,Grupo,Pop
1 más 1 son 7,Fran Perea,30/08/2003,1,es,Hombre,pop
No es lo mismo,Alejandro Sanz,6/09/2003,1,es,Hombre,Pop latino
Down,Junior Miguez,13/09/2003,1,es,Hombre,hip hop
No es lo mismo,Alejandro Sanz,20/09/2003,1,es,Hombre,Pop latino
El viaje,Antonio Orozco,27/09/2003,1,es,Hombre,Balada
Yin Yang,Jarabe de Palo,4/10/2003,1,es,Grupo,Rock
Going Under,Evanescence,11/10/2003,1,en,Grupo,rock
Rosa y espinas,David Civera con David Bisbal,18/10/2003,1,es,Colaboración,pop latino
¡Grita!,Vega,25/10/2003,1,es,Mujer,Pop
Te necesito,Luis Miguel,1/11/2003,1,es,Hombre,Balada
Tanto la quería,Andy & Lucas,8/11/2003,1,es,Grupo,Pop
White Flag,Dido,15/11/2003,1,en,Hombre,pop
Rosas,La Oreja de Van Gogh,22/11/2003,1,es,Grupo,Pop
En tu cruz me clavaste,Chenoa,29/11/2003,1,es,Mujer,Pop
Bad Day,R.E.M.,6/12/2003,1,en,Grupo,Rock
La esencia de tu voz,Rosa,13/12/2003,1,es,Mujer,pop
Mi corazón,Fran Perea,20/12/2003,1,es,Hombre,pop
Aunque no te pueda ver,Álex Ubago,27/12/2003,1,es,Hombre,Balada
Tequila,Café Quijano,3/01/2004,1,es,Grupo,Rock latino
Me Against the Music,Britney Spears con Madonna,10/01/2004,1,en,Colaboración,dance
Devuélveme el aire,David Bustamante,17/01/2004,1,es,Hombre,balada
La costa del silencio,Mägo de Oz,24/01/2004,1,es,Grupo,folk
Y en tu ventana,Andy & Lucas,31/01/2004,1,es,Colaboración,Pop
Bulería,David Bisbal,7/02/2004,2,es,Hombre,Pop latino
Shut Up,The Black Eyed Peas,21/02/2004,1,en,Grupo,Dance pop
Ya nada volverá a ser como antes,El Canto del Loco,28/02/2004,1,es,Grupo,Pop
Olvídate de mí,Iguana Tango,6/03/2004,1,es,Grupo,rock
In the Shadows,The Rasmus,13/03/2004,1,en,Grupo,rock
Tardes negras,Tiziano Ferro,20/03/2004,1,es,Hombre,pop
Abre tu mente,Merche,27/03/2004,1,es,Mujer,pop
"Me, Myself and I",Beyoncé,3/04/2004,1,en,Mujer,R&B
Fuente de energía,Estopa,10/04/2004,1,es,Hombre,Rumba
Hey ya!,OutKast,17/04/2004,1,hi,Grupo,Hip hop
Te quise tanto,Paulina Rubio,24/04/2004,1,es,Mujer,pop latino
Dragostea din tei,O-Zone,1/05/2004,1,en,Hombre,dance
Left Outside Alone,Anastacia,8/05/2004,2,en,Mujer,Pop
Retorciendo palabras,Fangoria,22/05/2004,1,es,Mujer,pop
Insoportable,El canto del loco,29/05/2004,1,es,Grupo,Pop
Malo,Bebe,5/06/2004,1,es,Mujer,Pop
Oye el boom,David Bisbal,12/06/2004,1,es,Hombre,Pop latino
Malo,Bebe,19/06/2004,1,es,Mujer,Pop
Duele el amor,Aleks Syntek con Ana Torroja,26/06/2004,1,es,Colaboración,pop
Quiero ser,Antonio Orozco,3/07/2004,1,es,Hombre,Balada
Obsesión,Aventura,10/07/2004,1,es,Grupo,Pop latino
Dragostea din tei,O-Zone,17/07/2004,1,en,Grupo,dance
Hablando en plata,Melendi,24/07/2004,1,es,Hombre,Rumba
Summer Sunshine,The Corrs,31/07/2004,1,en,Grupo,Folk
Cuanto antes,Álex Ubago,7/08/2004,1,es,Hombre,Balada
Maria Caipirinha,Carlinhos Brown con DJ Dero,14/08/2004,1,pt,Colaboración,Axé
Pastillas de freno,Estopa,21/08/2004,1,es,Hombre,Rumba
"Dale, Don dale",Don Omar,28/08/2004,1,es,Hombre,Reggaeton
Sick and Tired,Anastacia,4/09/2004,1,en,Mujer,Pop
Miro la vida pasar,Fangoria,11/09/2004,1,es,Mujer,pop
Camina y ven,David Bisbal,18/09/2004,1,es,Hombre,Pop latino
Valió la pena,Marc Anthony,25/09/2004,1,es,Hombre,pop latino
Con la luna llena,Melendi,2/10/2004,1,es,Hombre,Rumba
Para que no se duerman mis sentidos,Manolo García,9/10/2004,1,es,Hombre,Pop-rock
Precisamente ahora,David DeMaría,16/10/2004,1,,Hombre,pop latino
Ella,Bebe,23/10/2004,1,es,Mujer,Pop
Nada valgo sin tu amor,Juanes,30/10/2004,1,es,Hombre,Pop latino
Ella,Bebe,6/11/2004,1,es,Mujer,Pop
Everybody's Changing,Keane,13/11/2004,1,en,Hombre,Rock
Nada valgo sin tu amor,Juanes,20/11/2004,1,es,Hombre,Pop latino
Vertigo,U2,27/11/2004,1,en,Grupo,Rock
¿Por qué no ser amigos?,Hombres G con Dani Martín,4/12/2004,1,es,Colaboración,Pop rock
Vertigo,U2,11/12/2004,1,,Grupo,Rock
Escucha atento,Laura Pausini,18/12/2004,1,es,Mujer,Balada
¿Por qué no ser amigos?,Hombres G con Dani Martín,25/12/2004,1,es,Colaboración,Pop rock
Sopa fría,M-Clan,1/01/2005,1,es,Grupo,Pop-rock
Nada valgo sin tu amor,Juanes,8/01/2005,1,es,Hombre,Pop latino
Vertigo,U2,15/01/2005,2,en,Grupo,Rock
Es mi soledad,Antonio Orozco,29/01/2005,2,es,Hombre,Balada
She Will Be Loved,Maroon 5,12/02/2005,3,en,Grupo,pop-rock
Let Me Show You (the Way),Natasha Thomas,5/03/2005,1,en,Mujer,pop
Missing,Evanescence,12/03/2005,1,en,Grupo,Rock
Volverte a ver,Juanes,19/03/2005,1,es,Hombre,Pop latino
Nunca volverá,El Sueño de Morfeo,26/03/2005,2,es,Grupo,pop
El universo sobre mí,Amaral,9/04/2005,4,es,Mujer,Pop Rock
Stand My Ground,Within Temptation,7/05/2005,1,en,Grupo,metal
La camisa negra,Juanes,14/05/2005,3,es,Hombre,Pop latino
Caminando por la vida,Melendi,4/06/2005,1,es,Hombre,Rumba
La tortura,Shakira y Alejandro Sanz,11/06/2005,4,es,Colaboración,Pop latino
Zapatillas,El Canto Del Loco,9/07/2005,2,es,Grupo,Pop
Nada fue un error,Coti con Paulina Rubio y Julieta Venegas,23/07/2005,1,es,Colaboración,Pop
Zapatillas,El Canto Del Loco,30/07/2005,1,es,Grupo,Pop
Días de verano,Amaral,6/08/2005,3,es,Mujer,Pop Rock
Don't Phunk with My Heart,The Black Eyed Peas,27/08/2005,1,en,Grupo,Dance pop
Días de verano,Amaral,3/09/2005,1,es,Mujer,Pop Rock
Con solo una sonrisa,Melendi,10/09/2005,3,es,Hombre,Rumba
Días de verano,Amaral,1/10/2005,1,es,Mujer,Pop Rock
Have a Nice Day,Bon Jovi,8/10/2005,1,en,Grupo,rock
Pokito a poko,Chambao,15/10/2005,1,es,Mujer,Rumba
You're Beautiful,James Blunt,22/10/2005,1,en,Hombre,Pop rock
No me crees,Efecto Mariposa y Javier Ojeda,29/10/2005,1,es,Colaboración,pop
Welcome to My Life,Simple Plan,5/11/2005,1,en,Grupo,pop
You're Beautiful,James Blunt,12/11/2005,2,en,Hombre,Pop rock
No,Shakira,26/11/2005,1,es,Mujer,Pop latino
Hung Up,Madonna,3/12/2005,3,en,Mujer,Pop
Antes que ver el sol,Coti,24/12/2005,2,es,Hombre,Pop
Hung Up,Madonna,7/01/2006,1,en,Mujer,Pop
Volverá,El Canto del Loco,14/01/2006,2,es,Grupo,Pop
"Marta, Sebas, Guille y los demás",Amaral,28/01/2006,2,es,Mujer,Pop Rock
Hung Up,Madonna,11/02/2006,2,en,Mujer,Pop
Rutinas,Chenoa,25/02/2006,2,es,Mujer,Pop
Volverá,El Canto del Loco,11/03/2006,3,es,Grupo,Pop
Sorry,Madonna,1/04/2006,1,en,Mujer,Pop
Déjame verte,Diego Martín con Raquel del Rosario,8/04/2006,2,es,Colaboración,pop
Hips Don't Lie,Shakira con Wyclef Jean,22/04/2006,4,en,Mujer,Pop latino
Muñeca de trapo,La Oreja de Van Gogh,20/05/2006,2,es,Grupo,Pop
One,Mary J. Blige con U2,3/06/2006,1,en,Colaboración,R&B
Hips Don't Lie,Shakira con Wyclef Jean,10/06/2006,4,en,Colaboración,Pop latino
Besos,El Canto del Loco,8/07/2006,1,es,Grupo,Pop
Me voy,Julieta Venegas,15/07/2006,1,es,Mujer,pop latino
Todo,Pereza,22/07/2006,1,es,Grupo,Pop
