ID,serie,temporada,episodio,numero,estreno,,puntuacion,votos,imagen,fecha,hora
342,Anatomía de Grey,3,Drowning on Dry Land,16,15 Feb. 2007,,8.6,1021,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
343,Anatomía de Grey,3,Some Kind of Miracle,17,22 Feb. 2007,,8.7,1042,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
344,Anatomía de Grey,3,Scars and Souvenirs,18,15 Mar. 2007,,8.6,818,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
345,Anatomía de Grey,3,My Favorite Mistake,19,22 Mar. 2007,,8,712,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
346,Anatomía de Grey,3,Time After Time,20,19 Apr. 2007,,7.8,703,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
347,Anatomía de Grey,3,Desire,21,26 Apr. 2007,,7.8,709,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
348,Anatomía de Grey,3,"The Other Side of This Life, Part 1",22,3-May-07,,7.1,850,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
349,Anatomía de Grey,3,"The Other Side of This Life, Part 2",23,3-May-07,,7.1,772,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
350,Anatomía de Grey,3,Testing 1-2-3,24,10-May-07,,8.7,706,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
351,Anatomía de Grey,3,Didn't We Almost Have It All?,25,17-May-07,,8.5,1110,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:45.239491
352,Anatomía de Grey,4,A Change Is Gonna Come,1,27 Sep. 2007,,8.1,807,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
353,Anatomía de Grey,4,Love/Addiction,2,4 Oct. 2007,,7.9,662,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
354,Anatomía de Grey,4,Let the Truth Sting,3,11 Oct. 2007,,8.2,677,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
355,Anatomía de Grey,4,The Heart of the Matter,4,18 Oct. 2007,,8,707,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
356,Anatomía de Grey,4,Haunt You Every Day,5,25 Oct. 2007,,7.9,679,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
357,Anatomía de Grey,4,Kung Fu Fighting,6,1 Nov. 2007,,7.9,641,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
358,Anatomía de Grey,4,Physical Attraction... Chemical Reaction,7,8 Nov. 2007,,7.8,643,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
359,Anatomía de Grey,4,Forever Young,8,15 Nov. 2007,,8.1,698,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
360,Anatomía de Grey,4,Crash Into Me: Part 1,9,22 Nov. 2007,,8.1,766,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
361,Anatomía de Grey,4,Crash Into Me: Part 2,10,6 Dec. 2007,,8.1,725,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
362,Anatomía de Grey,4,Lay Your Hands on Me,11,10 Jan. 2008,,7.7,670,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
363,Anatomía de Grey,4,Where the Wild Things Are,12,24 Apr. 2008,,7.7,645,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
364,Anatomía de Grey,4,Piece of My Heart,13,1-May-08,,8.2,644,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
365,Anatomía de Grey,4,The Becoming,14,8-May-08,,7.9,816,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
366,Anatomía de Grey,4,Losing My Mind,15,15-May-08,,7.9,694,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
367,Anatomía de Grey,4,Freedom,16,25 Jun. 2008,,8.2,969,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
368,Anatomía de Grey,4,Freedom,17,25 Jun. 2008,,8.2,615,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:50.327734
369,Anatomía de Grey,5,Dream a Little Dream of Me: Part 1,1,2 Nov. 2008,,8.5,799,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
370,Anatomía de Grey,5,Dream a Little Dream of Me: Part 2,2,25 Sep. 2008,,8.5,493,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
371,Anatomía de Grey,5,Here Comes the Flood,3,9 Oct. 2008,,8.5,742,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
372,Anatomía de Grey,5,Brave New World,4,16 Oct. 2008,,8.8,831,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
373,Anatomía de Grey,5,There's No 'I' in Team,5,23 Oct. 2008,,8.8,810,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
374,Anatomía de Grey,5,Life During Wartime,6,30 Oct. 2008,,8.7,661,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
375,Anatomía de Grey,5,Rise Up,7,7 Dec. 2008,,8.8,808,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
376,Anatomía de Grey,5,These Ties That Bind,8,14 Dec. 2008,,8.5,859,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
377,Anatomía de Grey,5,In the Midnight Hour,9,20 Nov. 2008,,8.7,854,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
378,Anatomía de Grey,5,All by Myself,10,4 Dec. 2008,,8.8,830,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
379,Anatomía de Grey,5,Wish You Were Here,11,1 Mar. 2009,,8.5,628,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
380,Anatomía de Grey,5,Sympathy for the Devil,12,8 Mar. 2009,,9,886,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
381,Anatomía de Grey,5,Stairway to Heaven,13,22 Jan. 2009,,9.3,1037,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
382,Anatomía de Grey,5,Beat Your Heart Out,14,22 Mar. 2009,,8.8,746,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
383,Anatomía de Grey,5,Before and After,15,25 Apr. 2009,,8.5,616,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
384,Anatomía de Grey,5,An Honest Mistake,16,29 Apr. 2009,,9,855,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
385,Anatomía de Grey,5,I Will Follow You Into the Dark,17,10-May-09,,9,851,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
386,Anatomía de Grey,5,Stand by Me,18,17-May-09,,9.2,877,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
387,Anatomía de Grey,5,Elevator Love Letter,19,24-May-09,,9.2,938,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
388,Anatomía de Grey,5,Sweet Surrender,20,31-May-09,,9,847,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
389,Anatomía de Grey,5,No Good at Saying Sorry (One More Chance),21,7 Jun. 2009,,8.7,627,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
390,Anatomía de Grey,5,What a Difference a Day Makes,22,14 Jun. 2009,,9.4,1121,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
391,Anatomía de Grey,5,Here's to Future Days,23,21 Jun. 2009,,9.2,946,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
392,Anatomía de Grey,5,Now or Never,24,28 Jun. 2009,,9.6,1731,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:34:56.207330
393,Anatomía de Grey,6,Good Mourning,1,25 Oct. 2009,,8.7,852,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
394,Anatomía de Grey,6,Goodbye,2,1 Nov. 2009,,8.7,841,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
395,Anatomía de Grey,6,I Always Feel Like Somebody's Watchin' Me,3,8 Nov. 2009,,7.8,595,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
396,Anatomía de Grey,6,Tainted Obligation,4,15 Nov. 2009,,8.1,621,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
397,Anatomía de Grey,6,Invasion,5,22 Nov. 2009,,8.4,616,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
398,Anatomía de Grey,6,I Saw What I Saw,6,29 Dec. 2009,,8.7,1073,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
399,Anatomía de Grey,6,Give Peace a Chance,7,6 Dec. 2009,,8.7,736,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
400,Anatomía de Grey,6,Invest in Love,8,13 Dec. 2009,,8.7,698,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
401,Anatomía de Grey,6,New History,9,20 Dec. 2009,,8.4,569,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
402,Anatomía de Grey,6,Holidaze,10,14 Feb. 2010,,8.1,597,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
403,Anatomía de Grey,6,Blink,11,21 Feb. 2010,,8.4,575,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
404,Anatomía de Grey,6,I Like You So Much Better When You're Naked,12,28 Feb. 2010,,7.8,573,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
405,Anatomía de Grey,6,State of Love and Trust,13,7 Mar. 2010,,7.8,552,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
406,Anatomía de Grey,6,Valentine's Day Massacre,14,14 Mar. 2010,,8.3,541,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
407,Anatomía de Grey,6,The Time Warp,15,21 Mar. 2010,,8.9,915,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
408,Anatomía de Grey,6,Perfect Little Accident,16,28 Mar. 2010,,7.7,560,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
409,Anatomía de Grey,6,Push,17,9-May-10,,7.4,549,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
410,Anatomía de Grey,6,Suicide Is Painless,18,16-May-10,,7.4,597,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
411,Anatomía de Grey,6,Sympathy for the Parents,19,23-May-10,,7.6,551,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
412,Anatomía de Grey,6,"Hook, Line and Sinner",20,30-May-10,,7.4,530,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
413,Anatomía de Grey,6,How Insensitive,21,6 Jun. 2010,,8.3,545,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
414,Anatomía de Grey,6,Shiny Happy People,22,13 Jun. 2010,,8.1,746,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
415,Anatomía de Grey,6,Sanctuary,23,20 Jun. 2010,,9.4,1926,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
416,Anatomía de Grey,6,Death and All His Friends,24,27 Jun. 2010,,9.4,2228,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:03.307683
417,Anatomía de Grey,7,With You I'm Born Again,1,31 Oct. 2010,,7.5,717,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
418,Anatomía de Grey,7,Shock to the System,2,7 Nov. 2010,,7.3,565,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
419,Anatomía de Grey,7,Superfreak,3,14 Nov. 2010,,7.2,572,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
420,Anatomía de Grey,7,Can't Fight Biology,4,21 Nov. 2010,,7.1,558,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
421,Anatomía de Grey,7,Almost Grown,5,28 Nov. 2010,,7.4,560,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
422,Anatomía de Grey,7,These Arms of Mine,6,12 Dec. 2010,,6.7,860,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
423,Anatomía de Grey,7,That's Me Trying,7,19 Dec. 2010,,7.3,580,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
424,Anatomía de Grey,7,Something's Gotta Give,8,20 Feb. 2011,,7.4,576,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
425,Anatomía de Grey,7,"Slow Night, So Long",9,27 Feb. 2011,,7.5,582,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
426,Anatomía de Grey,7,Adrift and at Peace,10,5 Mar. 2011,,7.6,609,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
427,Anatomía de Grey,7,Disarm,11,13 Mar. 2011,,7.5,768,https://ia.media-imdb.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_.jpg,4/25/2018,11:35:08.405663
